Lap,Time,Category,Flag,Message,Sector,Scope
1,2018-08-26 12:55:06,Other,,RISK OF RAIN FOR THIS SESSION IS 20%,,
1,2018-08-26 13:07:05,Drs,,DRS DISABLED,,
1,2018-08-26 13:09:49,Flag,YELLOW,YELLOW IN TRACK SECTOR 16,16.0,Sector
1,2018-08-26 13:09:51,Flag,CLEAR,CLEAR IN TRACK SECTOR 16,16.0,Sector
1,2018-08-26 13:13:34,Flag,GREEN,GREEN LIGHT - PIT EXIT OPEN,,Track
1,2018-08-26 13:13:45,Flag,YELLOW,YELLOW IN TRACK SECTOR 1,1.0,Sector
1,2018-08-26 13:14:13,SafetyCar,,SAFETY CAR DEPLOYED,,
1,2018-08-26 13:15:23,SafetyCar,,SAFETY CAR THROUGH THE PIT LANE,,
2,2018-08-26 13:16:11,Other,,1ST CORNER INCIDENT UNDER INVESTIGATION,,
2,2018-08-26 13:17:28,Other,,TURN 1 INCIDENT WILL BE INVESTIGATED AFTER THE RACE,,
2,2018-08-26 13:18:08,Other,,PIT LANE ENTRY CLEAR,,
2,2018-08-26 13:18:27,Other,,SAFETY CAR WILL USE START/FINISH STRAIGHT,,
3,2018-08-26 13:21:35,Flag,CLEAR,CLEAR IN TRACK SECTOR 1,1.0,Sector
4,2018-08-26 13:22:44,SafetyCar,,SAFETY CAR IN THIS LAP,,
4,2018-08-26 13:24:34,Flag,CLEAR,TRACK CLEAR,,Track
5,2018-08-26 13:25:35,Flag,BLUE,WAVED BLUE FLAG FOR CAR 3 (RIC) TIMED AT 15:25:34,,Driver
6,2018-08-26 13:27:32,Other,,TURN 1 INCIDENT INVOLVING CARS 3 (RIC) AND 7 (RAI) NOTED,,
6,2018-08-26 13:27:45,CarEvent,,CAR 31 (OCO) MISSED THE APEX OF TURN 4,,
7,2018-08-26 13:28:42,Drs,,DRS ENABLED,,
7,2018-08-26 13:29:10,Other,,TURN 1 INCIDENT INVOLVING CARS 3 (RIC) AND 7 (RAI) - NO INVESTIGATION NECESSARY,,
7,2018-08-26 13:29:25,CarEvent,,CAR 7 (RAI) MISSED THE APEX OF TURN 4,,
34,2018-08-26 14:19:04,Flag,BLUE,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 16:19:03,,Driver
35,2018-08-26 14:20:20,Flag,BLUE,WAVED BLUE FLAG FOR CAR 35 (SIR) TIMED AT 16:20:19,,Driver
36,2018-08-26 14:22:01,Flag,BLUE,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 16:22:00,,Driver
36,2018-08-26 14:22:34,Flag,BLUE,WAVED BLUE FLAG FOR CAR 55 (SAI) TIMED AT 16:22:34,,Driver
37,2018-08-26 14:24:08,Flag,BLUE,WAVED BLUE FLAG FOR CAR 35 (SIR) TIMED AT 16:24:08,,Driver
38,2018-08-26 14:24:52,Flag,BLUE,WAVED BLUE FLAG FOR CAR 2 (VAN) TIMED AT 16:24:51,,Driver
38,2018-08-26 14:26:19,Flag,BLUE,WAVED BLUE FLAG FOR CAR 55 (SAI) TIMED AT 16:26:18,,Driver
41,2018-08-26 14:30:07,Flag,BLUE,WAVED BLUE FLAG FOR CAR 9 (ERI) TIMED AT 16:30:07,,Driver
41,2018-08-26 14:30:14,Flag,BLUE,WAVED BLUE FLAG FOR CAR 28 (HAR) TIMED AT 16:30:14,,Driver
44,2018-08-26 14:37:07,Flag,CHEQUERED,CHEQUERED FLAG,,Track
